实验编号,实验日期,实验员,关联项目,目标产品,实验类型,多元醇类型,多元醇用量(份),异氰酸酯类型,NCO/OH摩尔比R,扩链剂类型,扩链剂用量(份),催化剂种类,催化剂用量(%),抗水解剂用量(%),亲水扩链剂DMPA用量(%),溶剂体系,目标固含量(%),预聚温度(℃),预聚时间(h),扩链温度(℃),搅拌转速(rpm),实测NCO%,实测固含量(%),实测粘度(mPa·s),外观,结论,是否达标,备注
EXP-2024-0170,2024-11-13,林霞,RD-2026-002,HD-W112,DOE,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.01,BDO,0.9,SnOct(辛酸亚锡),0.062,0,,DMF,34.5,75,2.5,74,120,1.8,35.7,111182,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2026-0171,2026-04-07,陈立,RD-2026-002,HD-W112,工艺优化,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.034,HDO,3.1,TEDA(三乙烯二胺),0.015,1.0,,DMF,34.5,72,3.1,74,100,2.63,35.0,110177,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0172,2026-08-14,陈立,RD-2024-006,HD-W112,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,H12MDI,1.071,HDO,5.9,TEDA(三乙烯二胺),0.021,1.0,,DMF,34.5,75,2.4,60,60,3.66,33.8,105356,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0173,2025-02-06,朱军,RD-2026-002,HD-W112,对比验证,聚己内酯二醇(PCL-2000),100,TDI-80,1.01,HDO,1.1,DBTDL(二月桂酸二丁基锡),0.057,0.5,,DMF,34.5,79,3.2,70,80,1.8,35.1,101382,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2024-0174,2024-12-09,王芳,RD-2026-002,HD-W112,放大确认,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.058,BDO,4.8,SnOct(辛酸亚锡),0.041,0,,DMF,34.5,75,3.0,59,80,3.53,34.5,107902,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0175,2026-03-09,陈立,RD-2026-002,HD-W112,工艺优化,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.038,BDO,3.9,SnOct(辛酸亚锡),0.047,1.0,,DMF,34.5,75,1.9,74,120,2.8,35.2,114168,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0176,2025-09-02,吴静,RD-2026-002,HD-W112,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.057,BDO,4.7,TEDA(三乙烯二胺),0.03,0.5,,DMF,34.5,77,2.8,73,60,3.31,33.6,122032,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0177,2025-07-13,王芳,RD-2024-006,HD-W112,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.018,HDO,2.1,TEDA(三乙烯二胺),0.051,0,,DMF,34.5,82,3.4,69,80,2.09,33.8,114965,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0178,2025-04-28,朱军,RD-2026-002,HD-W112,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.044,HDO,4.9,SnOct(辛酸亚锡),0.044,0,,DMF,34.5,79,2.6,69,60,3.09,35.3,108910,微浊,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0179,2025-01-13,赵敏,RD-2026-002,HD-W112,DOE,聚碳酸酯二醇(PCDL-2000),100,HDI,1.01,BDO,1.2,TEDA(三乙烯二胺),0.067,0.5,,DMF,34.5,80,2.8,71,60,1.8,34.6,125728,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0180,2026-01-15,李强,RD-2024-006,HD-W112,放大确认,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.024,BDO,2.7,TEDA(三乙烯二胺),0.08,0.5,,DMF,34.5,75,2.0,68,60,2.29,33.8,97744,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0181,2024-12-22,林霞,RD-2024-006,HD-W112,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.06,BDO,5.2,DBTDL(二月桂酸二丁基锡),0.057,0,,DMF,34.5,72,2.5,55,80,3.59,34.1,97987,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0182,2026-08-08,朱军,RD-2024-006,HD-W112,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.024,BDO,2.3,TEDA(三乙烯二胺),0.065,1.0,,DMF,34.5,74,1.9,70,60,2.28,34.6,108074,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0183,2026-08-15,何斌,RD-2024-006,HD-W112,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.01,EG,1.1,SnOct(辛酸亚锡),0.076,1.0,,DMF,34.5,74,2.0,58,60,1.8,34.9,101412,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2024-0184,2024-09-17,郭燕,RD-2024-006,HD-W112,放大确认,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.049,HDO,4.5,TEDA(三乙烯二胺),0.034,1.0,,DMF,34.5,74,2.6,56,120,3.2,34.3,110046,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2026-0185,2026-07-20,王芳,RD-2026-002,HD-W112,DOE,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.041,EG,3.6,TEDA(三乙烯二胺),0.071,0.5,,DMF,34.5,81,3.1,69,100,3.03,34.1,106566,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2024-0186,2024-10-29,赵敏,RD-2026-002,HD-W112,DOE,聚碳酸酯二醇(PCDL-2000),100,MDI,1.041,EG,4.8,DBTDL(二月桂酸二丁基锡),0.04,0.5,,DMF,34.5,81,1.6,74,60,2.81,34.3,123273,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0187,2026-06-24,郭燕,—,HD-G201,工艺优化,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.153,BDO,17.8,TEDA(三乙烯二胺),0.037,0.5,,DMF/丁酮=7:3,32.5,77,2.2,55,80,5.97,32.3,57450,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0188,2025-12-20,何斌,—,HD-G201,工艺优化,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.099,HDO,10.5,DBTDL(二月桂酸二丁基锡),0.034,0,,DMF/丁酮=7:3,32.5,78,2.4,67,100,3.98,32.1,63449,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2026-0189,2026-04-15,林霞,—,HD-G201,配方筛选,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.122,HDO,13.8,TEDA(三乙烯二胺),0.013,0.5,,DMF/丁酮=6:4,32.5,75,3.5,69,80,4.9,32.6,68384,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0190,2026-07-20,李强,—,HD-G201,放大确认,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.117,HDO,12.2,DBTDL(二月桂酸二丁基锡),0.076,1.5,,DMF/甲苯=8:2,32.5,76,1.6,70,120,4.69,31.3,65563,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0191,2025-06-29,陈立,—,HD-G201,配方筛选,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.096,BDO,7.9,SnOct(辛酸亚锡),0.075,0.5,,DMF/甲苯=8:2,32.5,83,2.5,73,60,3.84,32.5,67039,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2024-0192,2024-12-23,孙丽,—,HD-G201,配方筛选,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.133,HDO,13.7,DBTDL(二月桂酸二丁基锡),0.022,0,,DMF/丁酮=6:4,32.5,83,3.3,55,120,5.11,32.8,71480,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0193,2025-03-07,周涛,—,HD-G201,配方筛选,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.136,BDO,12.2,DBTDL(二月桂酸二丁基锡),0.059,0,,DMF/丁酮=6:4,32.5,83,2.4,63,60,5.25,32.6,69432,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0194,2025-02-18,郑凯,—,HD-G201,工艺优化,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.135,HDO,11.6,TEDA(三乙烯二胺),0.06,0,,DMF/丁酮=7:3,32.5,77,2.7,60,100,4.99,32.7,72588,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0195,2025-05-19,何斌,—,HD-G201,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.135,BDO,13.0,DBTDL(二月桂酸二丁基锡),0.013,1.0,,DMF/丁酮=7:3,32.5,77,2.5,70,120,5.37,32.3,66775,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2024-0196,2024-11-29,王芳,—,HD-G201,DOE,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.103,EG,8.8,SnOct(辛酸亚锡),0.036,0,,DMF/丁酮=7:3,32.5,77,2.9,69,120,4.06,31.9,64640,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0197,2025-07-02,陈立,—,HD-G201,配方筛选,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.101,HDO,11.6,DBTDL(二月桂酸二丁基锡),0.063,0.5,,DMF/丁酮=6:4,32.5,78,3.4,55,60,4.21,33.0,65561,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2026-0198,2026-08-19,郭燕,—,HD-G201,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,HDI,1.139,BDO,12.6,SnOct(辛酸亚锡),0.051,0,,DMF/甲苯=8:2,32.5,73,2.9,57,100,4.84,32.9,62388,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0199,2025-04-29,孙丽,—,HD-G202,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.055,BDO,5.9,SnOct(辛酸亚锡),0.074,0,,DMF/甲苯=8:2,31.4,82,3.1,56,60,2.76,30.5,75738,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0200,2025-08-10,吴静,—,HD-G202,DOE,聚己内酯二醇(PCL-2000),100,MDI,1.089,HDO,7.2,SnOct(辛酸亚锡),0.043,1.0,,DMF/丁酮=7:3,31.4,75,1.8,57,100,3.71,32.0,72882,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0201,2026-04-27,王芳,—,HD-G202,对比验证,聚己内酯二醇(PCL-2000),100,MDI,1.07,BDO,6.4,SnOct(辛酸亚锡),0.065,1.0,,DMF/甲苯=8:2,31.4,75,2.1,62,120,3.19,31.7,82931,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0202,2025-08-27,周涛,—,HD-G202,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.076,BDO,6.3,TEDA(三乙烯二胺),0.039,1.0,,DMF/甲苯=8:2,31.4,78,1.7,61,80,3.45,31.9,66845,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0203,2026-03-03,吴静,—,HD-G202,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.048,HDO,5.5,TEDA(三乙烯二胺),0.019,1.0,,DMF/丁酮=7:3,31.4,77,2.1,57,60,2.6,31.5,77396,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2024-0204,2024-09-30,赵敏,—,HD-G202,DOE,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.108,BDO,12.3,TEDA(三乙烯二胺),0.055,1.0,,DMF/丁酮=6:4,31.4,74,2.8,59,100,4.38,30.8,79466,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0205,2026-04-21,孙丽,—,HD-G202,DOE,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.078,BDO,7.6,SnOct(辛酸亚锡),0.031,0.5,,DMF/丁酮=7:3,31.4,76,3.4,58,80,3.5,32.4,74669,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0206,2025-05-09,朱军,—,HD-G202,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.101,EG,10.6,DBTDL(二月桂酸二丁基锡),0.071,1.0,,DMF/丁酮=6:4,31.4,83,2.6,72,100,3.97,31.9,80973,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0207,2025-03-29,郭燕,—,HD-G202,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.093,BDO,9.4,TEDA(三乙烯二胺),0.018,0,,DMF/丁酮=7:3,31.4,77,2.3,56,60,3.61,32.0,88204,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0208,2025-12-13,孙丽,—,HD-G202,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.081,BDO,9.2,DBTDL(二月桂酸二丁基锡),0.039,0.5,,DMF/丁酮=7:3,31.4,76,1.7,62,100,3.55,32.3,78714,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0209,2024-10-01,陈立,—,HD-G202,工艺优化,聚己内酯二醇(PCL-2000),100,TDI-80,1.084,EG,7.9,TEDA(三乙烯二胺),0.035,0,,DMF/丁酮=6:4,31.4,79,2.7,64,120,3.73,32.3,77421,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0210,2026-08-15,郑凯,—,HD-G202,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.095,BDO,11.2,TEDA(三乙烯二胺),0.074,0.5,,DMF/甲苯=8:2,31.4,75,2.0,55,120,3.86,30.1,93911,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0211,2026-03-27,郑凯,—,HD-G203,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.056,HDO,6.2,SnOct(辛酸亚锡),0.017,0,,DMF/甲苯=8:2,32.1,84,2.4,70,120,2.87,32.5,88520,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0212,2025-06-29,何斌,—,HD-G203,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.063,EG,6.2,TEDA(三乙烯二胺),0.059,0.5,,DMF/丁酮=6:4,32.1,72,2.2,60,60,3.1,32.4,81487,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0213,2025-06-18,周涛,—,HD-G203,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.055,EG,5.7,SnOct(辛酸亚锡),0.052,0,,DMF/丁酮=7:3,32.1,83,3.1,71,60,2.85,32.1,96707,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0214,2026-04-28,王芳,—,HD-G203,放大确认,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.062,BDO,6.4,DBTDL(二月桂酸二丁基锡),0.052,1.5,,DMF/甲苯=8:2,32.1,77,2.7,58,100,2.93,32.0,90560,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0215,2025-10-29,吴静,—,HD-G203,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.059,BDO,5.0,TEDA(三乙烯二胺),0.052,1.5,,DMF/丁酮=6:4,32.1,81,3.2,59,120,2.81,31.9,99320,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0216,2025-03-01,王芳,—,HD-G203,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,HDI,1.045,BDO,4.1,DBTDL(二月桂酸二丁基锡),0.068,1.0,,DMF/丁酮=6:4,32.1,83,3.1,64,80,2.56,32.0,97453,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0217,2026-05-10,吴静,—,HD-G203,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,IPDI,1.05,HDO,5.1,TEDA(三乙烯二胺),0.034,1.0,,DMF/甲苯=8:2,32.1,72,1.5,65,80,2.74,32.2,88706,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0218,2026-07-11,吴静,—,HD-G203,放大确认,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.048,BDO,4.7,DBTDL(二月桂酸二丁基锡),0.067,0,,DMF/甲苯=8:2,32.1,76,2.3,70,80,2.59,32.0,92673,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0219,2025-03-13,孙丽,—,HD-G203,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.069,BDO,6.1,TEDA(三乙烯二胺),0.07,0,,DMF/丁酮=6:4,32.1,76,2.7,72,60,3.18,32.8,97496,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0220,2024-10-16,郑凯,—,HD-G203,工艺优化,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.068,HDO,6.2,DBTDL(二月桂酸二丁基锡),0.072,0,,DMF/丁酮=7:3,32.1,73,2.3,59,60,2.95,32.8,98802,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0221,2024-09-15,赵敏,—,HD-G203,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.06,BDO,6.5,TEDA(三乙烯二胺),0.012,0,,DMF/丁酮=6:4,32.1,76,3.5,63,120,2.96,33.2,94509,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0222,2025-05-10,王芳,—,HD-G203,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.087,BDO,8.2,TEDA(三乙烯二胺),0.075,0.5,,DMF/甲苯=8:2,32.1,79,2.3,56,100,3.74,32.5,96124,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0223,2026-05-14,陈立,—,HD-G204,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.06,HDO,5.5,TEDA(三乙烯二胺),0.051,1.5,,DMF/甲苯=8:2,32.6,80,2.1,69,80,2.91,32.7,67538,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0224,2025-07-11,李强,—,HD-G204,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.053,EG,5.4,SnOct(辛酸亚锡),0.079,0.5,,DMF/丁酮=7:3,32.6,77,3.5,60,60,2.82,32.6,72933,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0225,2025-07-10,郑凯,—,HD-G204,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.039,BDO,4.1,SnOct(辛酸亚锡),0.063,0,,DMF/甲苯=8:2,32.6,73,3.0,64,100,2.31,33.6,72502,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0226,2025-10-16,赵敏,—,HD-G204,DOE,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.051,BDO,4.4,DBTDL(二月桂酸二丁基锡),0.021,0,,DMF/丁酮=7:3,32.6,82,1.6,63,80,2.73,32.7,65576,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0227,2026-03-10,李强,—,HD-G204,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.074,HDO,6.6,DBTDL(二月桂酸二丁基锡),0.019,0,,DMF/丁酮=7:3,32.6,82,2.0,70,60,3.28,33.5,64850,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0228,2025-09-11,陈立,—,HD-G204,放大确认,聚丙二醇(PPG-2000),100,H12MDI,1.054,HDO,5.8,SnOct(辛酸亚锡),0.033,1.5,,DMF/丁酮=7:3,32.6,78,3.1,56,60,2.82,32.8,66102,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0229,2025-06-16,王芳,—,HD-G204,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.046,BDO,4.0,DBTDL(二月桂酸二丁基锡),0.046,0,,DMF/丁酮=7:3,32.6,72,3.5,67,80,2.53,32.3,69214,微黄透明,粘度异常，复测并排查水分,部分达标,
EXP-2026-0230,2026-04-22,郑凯,—,HD-G204,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.039,EG,4.5,SnOct(辛酸亚锡),0.033,1.0,,DMF/甲苯=8:2,32.6,84,2.6,65,60,2.37,32.7,70674,微黄透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0231,2025-03-26,赵敏,—,HD-G204,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.039,BDO,4.6,TEDA(三乙烯二胺),0.053,0.5,,DMF/甲苯=8:2,32.6,78,3.3,63,100,2.32,32.7,58823,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0232,2025-10-11,郑凯,—,HD-G204,放大确认,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.057,BDO,5.2,DBTDL(二月桂酸二丁基锡),0.018,0,,DMF/甲苯=8:2,32.6,77,2.6,65,100,2.83,33.5,63701,微浊,配方满足目标窗口，建议放大,达标,
EXP-2026-0233,2026-04-26,吴静,—,HD-G204,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.071,HDO,7.9,SnOct(辛酸亚锡),0.027,0.5,,DMF/丁酮=7:3,32.6,74,3.4,58,120,3.27,33.0,70061,微黄透明,粘度异常，复测并排查水分,部分达标,
EXP-2026-0234,2026-03-09,吴静,—,HD-G204,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.047,BDO,4.1,SnOct(辛酸亚锡),0.047,0,,DMF/丁酮=7:3,32.6,84,1.6,72,60,2.56,33.2,81280,微黄透明,粘度异常，复测并排查水分,部分达标,
EXP-2026-0235,2026-01-21,何斌,—,HD-G205,配方筛选,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.108,BDO,9.7,SnOct(辛酸亚锡),0.027,0,,DMF/丁酮=6:4,39.4,81,2.3,73,100,4.3,39.2,105924,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2024-0236,2024-09-12,赵敏,—,HD-G205,放大确认,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.082,BDO,7.5,DBTDL(二月桂酸二丁基锡),0.08,1.5,,DMF/丁酮=6:4,39.4,73,2.8,72,60,3.61,40.0,89445,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0237,2025-03-07,孙丽,—,HD-G205,配方筛选,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,IPDI,1.094,BDO,8.6,TEDA(三乙烯二胺),0.058,0.5,,DMF/甲苯=8:2,39.4,77,3.3,75,100,3.9,39.5,87190,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0238,2024-12-31,郑凯,—,HD-G205,配方筛选,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.11,EG,11.1,SnOct(辛酸亚锡),0.019,0,,DMF/丁酮=6:4,39.4,76,1.5,68,120,4.45,40.0,94897,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0239,2025-11-11,吴静,—,HD-G205,配方筛选,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.117,HDO,11.5,TEDA(三乙烯二胺),0.026,0.5,,DMF/丁酮=7:3,39.4,82,2.4,60,60,4.61,38.7,101442,微浊,粘度异常，复测并排查水分,未达标,
EXP-2025-0240,2025-06-27,李强,—,HD-G205,DOE,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.095,BDO,10.6,TEDA(三乙烯二胺),0.017,1.0,,DMF/丁酮=6:4,39.4,80,3.1,56,60,3.93,38.7,97827,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0241,2025-05-29,周涛,—,HD-G205,配方筛选,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.091,BDO,8.3,SnOct(辛酸亚锡),0.036,1.0,,DMF/丁酮=6:4,39.4,77,2.3,65,100,3.64,39.1,101573,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0242,2025-05-05,郑凯,—,HD-G205,对比验证,聚丙二醇(PPG-2000),100,MDI,1.099,HDO,9.2,TEDA(三乙烯二胺),0.072,1.0,,DMF/甲苯=8:2,39.4,78,1.8,73,60,4.12,39.2,99106,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0243,2025-01-28,郭燕,—,HD-G205,DOE,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.098,HDO,8.8,TEDA(三乙烯二胺),0.07,0,,DMF/甲苯=8:2,39.4,72,1.7,74,80,3.8,39.1,94576,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0244,2025-02-25,陈立,—,HD-G205,工艺优化,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.076,BDO,6.7,TEDA(三乙烯二胺),0.066,0.5,,DMF/甲苯=8:2,39.4,82,2.4,71,60,3.45,39.8,77164,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2026-0245,2026-01-11,林霞,—,HD-G205,配方筛选,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.071,BDO,6.7,SnOct(辛酸亚锡),0.034,0,,DMF/丁酮=6:4,39.4,80,3.1,65,60,3.27,38.8,99992,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0246,2025-12-23,林霞,—,HD-G205,工艺优化,聚碳酸酯二醇(PCDL-2000),100,MDI,1.096,EG,10.3,SnOct(辛酸亚锡),0.061,0,,DMF/丁酮=6:4,39.4,79,2.1,67,100,3.89,39.9,91477,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0247,2025-12-12,郑凯,—,HD-G206,DOE,聚己内酯二醇(PCL-2000),100,MDI,1.14,BDO,13.8,SnOct(辛酸亚锡),0.049,1.5,,DMF/丁酮=7:3,32.2,74,3.4,71,120,5.17,31.9,120451,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2024-0248,2024-11-11,林霞,—,HD-G206,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.111,HDO,10.3,SnOct(辛酸亚锡),0.015,0,,DMF/丁酮=7:3,32.2,75,3.1,74,80,4.39,31.5,99475,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0249,2026-01-13,赵敏,—,HD-G206,工艺优化,聚己内酯二醇(PCL-2000),100,MDI,1.126,HDO,14.2,TEDA(三乙烯二胺),0.018,0,,DMF/丁酮=7:3,32.2,80,1.9,69,100,4.86,32.7,107079,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0250,2025-01-28,陈立,—,HD-G206,工艺优化,聚己内酯二醇(PCL-2000),100,MDI,1.125,BDO,12.0,SnOct(辛酸亚锡),0.058,0,,DMF/丁酮=6:4,32.2,83,1.7,63,60,4.88,32.0,96559,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0251,2024-09-08,陈立,—,HD-G206,放大确认,聚己内酯二醇(PCL-2000),100,MDI,1.137,BDO,15.4,TEDA(三乙烯二胺),0.037,1.0,,DMF/丁酮=7:3,32.2,85,3.4,69,120,5.36,32.2,100051,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0252,2025-07-04,陈立,—,HD-G206,配方筛选,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.18,HDO,19.6,SnOct(辛酸亚锡),0.053,1.0,,DMF/甲苯=8:2,32.2,78,2.1,72,120,6.47,33.7,117925,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
